movie_id,title,director,year,runtime,genres
tt0023037,Land Without Bread,Luis Buñuel,1933,30,"Documentary,Short"
tt0063665,One + One,Jean-Luc Godard,1968,115,"Documentary,Drama,Music"
tt0081242,No Nukes,"Danny Goldberg, Anthony Potenza, Julian Schlossberg, Barbara Kopple, Haskell Wexler",1980,103,"Documentary,Music"
tt0084429,O Canada!,"William Bosche, Randy Bright",1982,18,"Documentary,Family,Short"
tt0091125,God's Country,Louis Malle,1985,90,Documentary
tt0095895,Powaqqatsi,Godfrey Reggio,1988,99,"Documentary,Music"
tt0113270,The Haunted World of Edward D. Wood Jr.,Brett Thompson,1995,89,"Biography,Documentary,Horror"
tt0119107,"Fast, Cheap & Out of Control",Errol Morris,1997,80,Documentary
tt0125459,Pitch,"Kenny Hotz, Spencer Rice",1997,81,Documentary
tt0156524,The Eternal Jew,Fritz Hippler,1940,62,"Documentary,History"
tt0181817,Sing Faster: The Stagehands' Ring Cycle,Jon Else,1999,60,"Documentary,Music"
tt0190806,The Story of Menstruation,Jack Kinney,1946,10,"Animation,Documentary,Family"
tt0208570,Why Dogs Smile & Chimpanzees Cry,Carol L. Fleisher,1999,100,Documentary
tt0221809,Ayurveda: Art of Being,Pan Nalin,2001,102,Documentary
tt0244283,The Vagina Monologues,Eve Ensler,2002,77,"Comedy,Documentary,Drama"
tt0260369,Signal 30,Richard Wayman,1959,28,"Documentary,Short"
tt0312988,Mysteries of Love,Jeffrey Schwarz,2002,71,Documentary
tt0314930,Yugoslavia: The Avoidable War,George Bogdanich,1999,165,"Documentary,War"
tt0327920,I Am Trying to Break Your Heart,Sam Jones,2002,92,"Documentary,Music"
tt0342317,Eddie Izzard: Circle,Anastasia Pappas,2002,82,"Comedy,Documentary"
tt0368083,Noam Chomsky: Rebel Without a Pause,Will Pascoe,2003,74,"Documentary,War"
tt0372806,Bright Leaves,Ross McElwee,2003,107,"Biography,Comedy,Documentary"
tt0399877,What the #$*! Do We (K)now!?,"William Arntz, Betsy Chasse, Mark Vicente",2004,109,"Comedy,Documentary,Drama"
tt0408304,"Yo soy Boricua, pa'que tu lo sepas!","Liz Garbus, Rosie Perez",2006,86,Documentary
tt0427901,Stolen Honor: Wounds That Never Heal,Carlton Sherwood,2004,43,"Documentary,Short"
tt0428959,"Peace, Propaganda & the Promised Land","Sut Jhally, Bathsheba Ratzkoff",2004,80,Documentary
tt0433367,Dragons: A Fantasy Made Real,Justin Hardy,2004,100,"Documentary,Fantasy"
tt0443057,Iberia,Carlos Saura,2005,99,"Documentary,Musical"
tt0455507,The God Who Wasn't There,Brian Flemming,2005,62,"Biography,Documentary,History"
tt0461887,Space Race,"Mark Everest, Christopher Spencer",2005,240,"Documentary,Drama"
