movie_id,title,director,year,runtime,genres
tt0028057,The Old Mill Pond,Hugh Harman,1936,8,"Animation,Music,Short"
tt0046183,Peter Pan,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney",1953,77,"Adventure,Animation,Family"
tt0067280,Journey Back to Oz,Hal Sutherland,1972,88,"Adventure,Animation,Comedy"
tt0077869,The Lord of the Rings,Ralph Bakshi,1978,132,"Adventure,Animation,Fantasy"
tt0078480,Watership Down,"Martin Rosen, John Hubley",1978,92,"Adventure,Animation,Drama"
tt0086817,Transformers,"Andy Kim, Bob Kirk, Al Kouzel, Terry Lennon, Bob Matz, Norm McCabe, Margaret Nichols, Karen Peterson, Tom Ray, Robert Shellhorn, Bob Treat, Ray Lee, John Walker, John Gibbs, Jaeho Hong, Peter Wallach",1984,30,"Action,Adventure,Animation"
tt0087544,Nausicaä of the Valley of the Wind,Hayao Miyazaki,1984,117,"Adventure,Animation,Sci-Fi"
tt0090799,Care Bears Movie II: A New Generation,Dale Schott,1986,76,"Adventure,Animation,Comedy"
tt0091862,Robotech: The Movie,"Noboru Ishiguro, Carl Macek",1986,87,"Action,Animation,Music"
tt0096866,The BFG,Brian Cosgrove,1989,91,"Adventure,Animation,Drama"
tt0096880,Balance,"Christoph Lauenstein, Wolfgang Lauenstein",1989,7,"Animation,Drama,Short"
tt0104534,"It's Christmastime Again, Charlie Brown",Bill Melendez,1992,23,"Animation,Comedy,Family"
tt0110763,The Pagemaster,Pixote Hunt,1994,75,"Adventure,Animation,Comedy"
tt0112159,Neon Genesis Evangelion,"Hideaki Anno, Kazuya Tsurumaki, Hiroyuki Ishidô, Masayuki, Tensai Okamura, Tsuyoshi Kaga, Keiichi Sugiyama, Masahiko Ôtsuka, Seiji Mizushima, Tetsuya Watanabe, Ken Andô, Naoyasu Habu, Shôichi Masuo, Akira Takamura, Minoru Ôhara",1995,24,"Action,Animation,Drama"
tt0118266,The New Batman Adventures,"Dan Riba, Curt Geda, Butch Lukic, Atsuko Tanaka, Kenji Hachizaki, Hiroyuki Aoyama, Yûichirô Yano",1997,30,"Action,Adventure,Animation"
tt0144608,Sinbad: Beyond the Veil of Mists,"Alan Jacobs, Evan Ricks",2000,85,"Action,Adventure,Animation"
tt0154604,The Home Front,Frank Tashlin,1943,4,"Animation,Short"
tt0166813,Spirit: Stallion of the Cimarron,"Kelly Asbury, Lorna Cook",2002,83,"Adventure,Animation,Drama"
tt0166948,The Adventures of the American Rabbit,"Nobutaka Nishizawa, Fred Wolf",1986,85,"Action,Adventure,Animation"
tt0167285,The Mind's Eye,Jan Nickman,1990,40,"Animation,Short"
tt0169414,Arthur,"Greg Bailey, Geoff Adams",1996,30,"Adventure,Animation,Comedy"
tt0235918,The Fairly OddParents,"Gary Conrad, Ken Bruce, Michelle Bryan, Butch Hartman, Sarah Frost, John McIntyre, Wincat Alcala, Tuck Tucker, Kevin Petrilak, John Fountain, Sherie Pollack, George Elliott, Keith Oliver, Randy Myers, Larry Leichliter, Jaime Diaz, Juli Murphy",2001,30,"Adventure,Animation,Comedy"
tt0262333,Chronopolis,Piotr Kamler,1982,52,"Animation,Drama,Fantasy"
tt0293849,The Little Polar Bear,"Piet De Rycker, Thilo Rothkirch",2001,78,"Adventure,Animation,Family"
tt0311618,A Tree of Palme,Takashi Nakamura,2002,130,"Adventure,Animation,Drama"
tt0338130,Inspector Gadget's Last Case: Claw's Revenge,Patrick A. Ventura,2002,73,"Action,Adventure,Animation"
tt0338621,Kirby: Right Back at Ya!,"Sôji Yoshikawa, Hiroshi Harada",2001,24,"Action,Adventure,Animation"
tt0346578,Batman: Mystery of the Batwoman,"Jennifer Graves, Tim Maltby, Curt Geda",2003,75,"Action,Animation,Crime"
tt0354690,Lady Death,Andy Orjuela,2004,80,"Action,Animation,Fantasy"
tt0357173,The Short Films of David Lynch,David Lynch,2002,97,"Animation,Documentary,Drama"
tt0361179,Father of the Pride,"Klay Hall, John Stevenson, John Holmquist, Mark Risley, Bret Haaland, Steve Hickner, John Puglisi, Mark Baldo, Mike de Seve",2004,26,"Adventure,Animation,Comedy"
tt0385586,Cat Soup,Tatsuo Satō,2001,34,"Animation,Comedy,Fantasy"
tt0398417,The Batman,"Brandon Vietti, Seung Eun Kim, Christopher Berkeley, Anthony Chun, Sam Liu, Vinton Heuck, Matt Youngberg, John Fang",2004,22,"Action,Adventure,Animation"
tt0419326,Foster's Home for Imaginary Friends,"Craig McCracken, Craig Kellman, Rob Renzetti, Lauren Faust, Eric Pringle",2004,30,"Adventure,Animation,Comedy"
tt0472033,9,Shane Acker,2009,79,"Action,Adventure,Animation"
tt0480586,Tachigui: The Amazing Lives of the Fast Food Grifters,Mamoru Oshii,2006,104,"Animation,Comedy,Drama"
tt0488147,The Legend of Frosty the Snowman,Greg Sullivan,2005,67,"Animation,Comedy,Family"
tt0493247,Origin: Spirits of the Past,"Keiichi Sugiyama, Hitoshi Haga",2006,94,"Adventure,Animation,Drama"
tt0815744,DumbLand,David Lynch,2002,35,"Animation,Comedy,Short"
tt0850642,Shaggy & Scooby-Doo Get a Clue!,"Jeff Allen, Charles Visser",2006,23,"Action,Adventure,Animation"
tt0025173,The Girl from Missouri,"Jack Conway, Sam Wood",1934,75,"Comedy,Drama,Romance"
tt0033226,Virginia City,Michael Curtiz,1940,121,Western
tt0052844,Ghost of Dragstrip Hollow,William J. Hole Jr.,1959,65,"Comedy,Horror"
tt0053224,The Rookie,George O'Hanlon,1959,84,Comedy
