movie_id,title,director,year,runtime,genres
tt0024605,The Sphinx,Phil Rosen,1933,64,"Adventure,Crime,Mystery"
tt0034328,Two-Faced Woman,George Cukor,1941,90,"Comedy,Mystery,Romance"
tt0062032,Succubus,Jesús Franco,1968,79,"Horror,Mystery,Thriller"
tt0070723,Soylent Green,Richard Fleischer,1973,97,"Crime,Mystery,Sci-Fi"
tt0074331,Old Fashioned Murder,Robert Douglas,1976,72,"Crime,Drama,Mystery"
tt0080661,Dressed to Kill,Brian De Palma,1980,104,"Crime,Drama,Mystery"
tt0082279,The Dorm That Dripped Blood,"Stephen Carpenter, Jeffrey Obrow",1982,88,"Horror,Mystery,Thriller"
tt0084133,The Incubus,John Hough,1981,93,"Horror,Mystery,Thriller"
tt0099173,Brain Dead,Adam Simon,1990,85,"Horror,Mystery,Sci-Fi"
tt0114736,True Crime,Pat Verducci,1995,94,"Crime,Drama,Mystery"
tt0114746,12 Monkeys,Terry Gilliam,1995,129,"Mystery,Sci-Fi,Thriller"
tt0119196,The Gingerbread Man,Robert Altman,1998,114,"Crime,Mystery,Thriller"
tt0119210,Switchback,Jeb Stuart,1997,118,"Crime,Mystery,Thriller"
tt0120620,Brokedown Palace,Jonathan Kaplan,1999,100,"Drama,Mystery,Thriller"
tt0125510,Splatter University,Richard W. Haines,1984,78,"Horror,Mystery,Thriller"
tt0144191,A Face in the Fog,Robert F. Hill,1936,61,"Mystery,Thriller"
tt0145531,Stigmata,Rupert Wainwright,1999,103,"Horror,Mystery"
tt0163069,Losing Control,Julie Jordan,1998,93,"Mystery,Romance,Thriller"
tt0171363,The Haunting,Jan de Bont,1999,113,"Fantasy,Horror,Mystery"
tt0218619,Soul Survivors,Stephen Carpenter,2001,84,"Horror,Mystery,Thriller"
tt0242798,Proximity,Scott Ziehl,2001,100,"Action,Crime,Mystery"
tt0242998,Valentine,Jamie Blanks,2001,96,"Horror,Mystery,Thriller"
tt0274711,People I Know,Daniel Algrant,2002,100,"Crime,Drama,Mystery"
tt0288243,Taboo,Max Makowski,2002,80,"Drama,Horror,Mystery"
tt0314204,Creature Unknown,Michael Burnett,2004,79,"Horror,Mystery,Thriller"
tt0329334,Bleed,"Devin Hamilton, Dennis Petersen",2002,82,"Horror,Mystery,Thriller"
tt0329934,Sue Thomas: F.B.Eye,"Larry A. McLean, Holly Dale, David Warry-Smith, Bruce Pittman, Stephan Fanfara, J. Miles Dale, Dave Alan Johnson, Alan Goluboff, John Bell, Eleanore Lindo, Ken Hanes",2002,60,"Crime,Drama,Mystery"
tt0346156,Sky Captain and the World of Tomorrow,Kerry Conran,2004,106,"Action,Adventure,Mystery"
tt0366292,One Missed Call,Takashi Miike,2003,112,"Horror,Mystery"
