suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_01,trummer_v1,7,15,13,10,3,5,0.7692307692307693,0.6666666666666666,0.7142857142857142,24.529547566002293,15,9,6,6.402348840012564,18.1003587899977,0.9,20,20,0.625,
5q,q_01,trummer_v1,8,15,13,10,3,5,0.7692307692307693,0.6666666666666666,0.7142857142857142,24.55065233100322,15,9,6,6.412306811005692,18.114967833003902,0.9,20,20,0.625,
5q,q_01,trummer_v1,9,15,13,10,3,5,0.7692307692307693,0.6666666666666666,0.7142857142857142,24.54822607999813,15,9,6,6.437729632998526,18.0877703139995,0.9,20,20,0.625,
5q,q_01,trummer_v1,10,15,13,10,3,5,0.7692307692307693,0.6666666666666666,0.7142857142857142,24.535688846000994,15,9,6,6.404127768015314,18.108982133999234,0.9,20,20,0.625,
5q,q_02,suql_baseline,1,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,19.045277568002348,47,0,47,0.0,19.02216276400577,0.9,20,0,0.0,
5q,q_02,suql_baseline,2,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.474348174000625,47,0,47,0.0,17.45054998202977,0.9,20,0,0.0,
5q,q_02,suql_baseline,3,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.569605209995643,47,0,47,0.0,17.548256941001455,0.9,20,0,0.0,
5q,q_02,suql_baseline,4,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.63507118000416,47,0,47,0.0,17.615335847956885,0.9,20,0,0.0,
5q,q_02,suql_baseline,5,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.49034647100052,47,0,47,0.0,17.469140012966818,0.9,20,0,0.0,
5q,q_02,suql_baseline,6,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.344800280996424,47,0,47,0.0,17.323901886004023,0.9,20,0,0.0,
5q,q_02,suql_baseline,7,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.43848887999775,47,0,47,0.0,17.414237912016688,0.9,20,0,0.0,
5q,q_02,suql_baseline,8,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.26002447299834,47,0,47,0.0,17.239436666975962,0.9,20,0,0.0,
5q,q_02,suql_baseline,9,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.264626263997343,47,0,47,0.0,17.24513756002125,0.9,20,0,0.0,
5q,q_02,suql_baseline,10,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,17.429979427994112,47,0,47,0.0,17.407356503987103,0.9,20,0,0.0,
5q,q_02,suql_v1,1,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,28.08670684500248,97,50,47,10.38028451500577,17.68657674701535,0.9,20,20,0.6,
5q,q_02,suql_v1,2,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,27.743450269997993,97,50,47,10.126806032996683,17.59687899798155,0.9,20,20,0.6,
5q,q_02,suql_v1,3,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,27.883407722998527,97,50,47,10.101612839003792,17.758567436030717,0.9,20,20,0.6,
5q,q_02,suql_v1,4,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,28.05731016900245,97,50,47,10.121256484009791,17.915790348037262,0.9,20,20,0.6,
5q,q_02,suql_v1,5,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,27.730733135002083,97,50,47,10.241019107990724,17.47128543501458,0.9,20,20,0.6,
5q,q_02,suql_v1,6,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,27.782763285998954,97,50,47,10.156616956970538,17.607332398969447,0.9,20,20,0.6,
5q,q_02,suql_v1,7,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,27.808585147002304,97,50,47,10.006723587015586,17.784553584941023,0.9,20,20,0.6,
5q,q_02,suql_v1,8,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,27.891421813001216,97,50,47,10.204233665011998,17.668227567999566,0.9,20,20,0.6,
5q,q_02,suql_v1,9,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,27.873891388997436,97,50,47,10.136226430993702,17.717891707005037,0.9,20,20,0.6,
5q,q_02,suql_v1,10,15,16,10,6,5,0.625,0.6666666666666666,0.6451612903225806,28.22939679499541,97,50,47,10.428437199014297,17.781925454051816,0.9,20,20,0.6,
5q,q_02,trummer_baseline,1,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,83.7474563249998,28,0,28,0.0,83.66641035897192,0.9,20,0,0.0,
5q,q_02,trummer_baseline,2,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.72485821699956,28,0,28,0.0,82.64056724099646,0.9,20,0,0.0,
5q,q_02,trummer_baseline,3,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.67519843400078,28,0,28,0.0,82.59711370799778,0.9,20,0,0.0,
5q,q_02,trummer_baseline,4,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.69540722500096,28,0,28,0.0,82.61616527800652,0.9,20,0,0.0,
5q,q_02,trummer_baseline,5,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.68102174399974,28,0,28,0.0,82.60183996401611,0.9,20,0,0.0,
5q,q_02,trummer_baseline,6,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.67955200000142,28,0,28,0.0,82.59849197298172,0.9,20,0,0.0,
5q,q_02,trummer_baseline,7,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.61112221700023,28,0,28,0.0,82.52999135798746,0.9,20,0,0.0,
5q,q_02,trummer_baseline,8,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.73254734700458,28,0,28,0.0,82.65317574299843,0.9,20,0,0.0,
5q,q_02,trummer_baseline,9,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.56463032100874,28,0,28,0.0,82.48463967799762,0.9,20,0,0.0,
5q,q_02,trummer_baseline,10,15,49,14,35,1,0.2857142857142857,0.9333333333333333,0.43749999999999994,82.49870788799308,28,0,28,0.0,82.4162318779563,0.9,20,0,0.0,
5q,q_02,trummer_v1,1,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,30.446524730999954,16,10,6,6.750102675985545,23.67307372301002,0.9,20,20,0.6,
5q,q_02,trummer_v1,2,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.777496588998474,16,10,6,5.417369711998617,20.336640505993273,0.9,20,20,0.6,
5q,q_02,trummer_v1,3,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.670470187003957,16,10,6,5.445527477990254,20.202153054022347,0.9,20,20,0.6,
5q,q_02,trummer_v1,4,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.652781344004325,16,10,6,5.4292594070138875,20.200642942014383,0.9,20,20,0.6,
5q,q_02,trummer_v1,5,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.64034675399307,16,10,6,5.428196243054117,20.18893359802314,0.9,20,20,0.6,
5q,q_02,trummer_v1,6,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.619342784004402,16,10,6,5.416519768026774,20.177788339031395,0.9,20,20,0.6,
5q,q_02,trummer_v1,7,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.63420708999911,16,10,6,5.42504035597085,20.186510403975262,0.9,20,20,0.6,
5q,q_02,trummer_v1,8,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.599852354993345,16,10,6,5.402992539005936,20.173736873010057,0.9,20,20,0.6,
5q,q_02,trummer_v1,9,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.594771122006932,16,10,6,5.377072314993711,20.1923985209869,0.9,20,20,0.6,
5q,q_02,trummer_v1,10,15,8,5,3,10,0.625,0.3333333333333333,0.43478260869565216,25.632759835993056,16,10,6,5.413789269980043,20.196784183004638,0.9,20,20,0.6,
5q,q_03,suql_baseline,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,16.04132176100393,50,0,50,0.0,16.020905676894472,0.9,20,0,0.0,
5q,q_03,suql_baseline,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.382872596004745,50,0,50,0.0,15.361390574937104,0.9,20,0,0.0,
5q,q_03,suql_baseline,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.465327800993691,50,0,50,0.0,15.443010272007086,0.9,20,0,0.0,
5q,q_03,suql_baseline,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.386821357998997,50,0,50,0.0,15.364182018049178,0.9,20,0,0.0,
5q,q_03,suql_baseline,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.26025449798908,50,0,50,0.0,15.23990547201538,0.9,20,0,0.0,
5q,q_03,suql_baseline,6,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.209154752999893,50,0,50,0.0,15.18748311503441,0.9,20,0,0.0,
5q,q_03,suql_baseline,7,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.144121620003716,50,0,50,0.0,15.121431328981998,0.9,20,0,0.0,
5q,q_03,suql_baseline,8,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.227318336997996,50,0,50,0.0,15.206199818014284,0.9,20,0,0.0,
5q,q_03,suql_baseline,9,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.21236747399962,50,0,50,0.0,15.187580283076386,0.9,20,0,0.0,
5q,q_03,suql_baseline,10,15,17,15,2,0,0.8823529411764706,1.0,0.9375,15.236843948994647,50,0,50,0.0,15.21360461198492,0.9,20,0,0.0,
5q,q_03,suql_v1,1,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.342640984003083,100,50,50,10.02977818500949,15.293582868034719,0.9,20,20,0.65,
5q,q_03,suql_v1,2,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.295022788995993,100,50,50,10.115436995023629,15.160507827007677,0.9,20,20,0.65,
5q,q_03,suql_v1,3,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.05382057900715,100,50,50,9.87845013201877,15.155812808050541,0.9,20,20,0.65,
5q,q_03,suql_v1,4,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.349190898996312,100,50,50,10.164920276991324,15.165274025988765,0.9,20,20,0.65,
5q,q_03,suql_v1,5,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.35831528599374,100,50,50,10.132017315001576,15.206940093063167,0.9,20,20,0.65,
5q,q_03,suql_v1,6,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.54020303800644,100,50,50,10.187214534933446,15.332509563930216,0.9,20,20,0.65,
5q,q_03,suql_v1,7,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.606406113001867,100,50,50,10.118636154977139,15.467693357961252,0.9,20,20,0.65,
5q,q_03,suql_v1,8,15,17,15,2,0,0.8823529411764706,1.0,0.9375,25.480144854998798,100,50,50,10.051793256017845,15.409766851065797,0.9,20,20,0.65,
