method,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds
suql_baseline,0.8601307189542484,0.9333333333333333,0.8944444444444444,20.459426157801257,48.666666666666664,0.0,48.666666666666664,0.0,20.438477704206402
suql_v1,0.8448251095309919,0.8755555555555555,0.8561583956698899,53.154295082200164,86.73333333333333,50.0,36.733333333333334,38.65323573225954,14.480068791666417
trummer_baseline,0.3344472291840713,0.9777777777777777,0.4964667616539297,34.48116703719909,30.0,0.0,30.0,0.0,34.41247827395564
trummer_v1,0.8400358757169902,0.8666666666666667,0.8433789388567573,12.356702626934082,13.133333333333333,8.666666666666666,4.466666666666667,6.403459581004184,5.939236574001067
