suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_01,trummer_v1,1,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,17.505455623999296,8,7,1,15.810672789993987,1.6819012810010463,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,2,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,17.02705777799565,8,7,1,15.356670043998747,1.656853256004979,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,3,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.994327776003047,8,7,1,15.327408511999238,1.6544107959998655,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,4,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.989890475997527,8,7,1,15.324619630999223,1.652280043999781,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,5,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,17.009787085000426,8,7,1,15.336349743993196,1.6604335399970296,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,6,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,16.986898418996134,8,7,1,15.319855636014836,1.6538499819944263,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,7,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,17.036908941998263,8,7,1,15.358314298006007,1.6667042120025144,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,8,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,17.029982533000293,8,7,1,15.34778349800763,1.6669942059961613,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,9,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,17.023787404999894,8,7,1,15.338715509991744,1.6719611139997141,0.9,20,20,0.9,0.0
5q,q_01,trummer_v1,10,15,17,14,3,1,0.8235294117647058,0.9333333333333333,0.8749999999999999,17.03190626700234,8,7,1,15.351231083004677,1.6667673429983552,0.9,20,20,0.9,0.0
