suite,question,method,repetition,truth_count,found_count,tp,fp,fn,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds,cascade_target,calibration_budget,calibration_candidates,calibration_agreement,learned_confidence_threshold
5q,q_01,trummer_v1,6,15,14,12,2,3,0.8571428571428571,0.8,0.8275862068965518,11.366442646998621,13,8,5,6.066722849995131,5.280557553000108,0.9,20,20,0.75,
5q,q_01,trummer_v1,7,15,14,12,2,3,0.8571428571428571,0.8,0.8275862068965518,11.363932605003356,13,8,5,6.070295642006386,5.271918632010056,0.9,20,20,0.75,
5q,q_01,trummer_v1,8,15,14,12,2,3,0.8571428571428571,0.8,0.8275862068965518,11.382310782995773,13,8,5,6.074238228997274,5.2862326219983515,0.9,20,20,0.75,
5q,q_01,trummer_v1,9,15,14,12,2,3,0.8571428571428571,0.8,0.8275862068965518,11.339540809000027,13,8,5,6.05606584000634,5.262482728998293,0.9,20,20,0.75,
5q,q_01,trummer_v1,10,15,14,12,2,3,0.8571428571428571,0.8,0.8275862068965518,11.332284914999036,13,8,5,6.049731508996047,5.262310291996982,0.9,20,20,0.75,
5q,q_02,suql_baseline,1,15,24,14,10,1,0.5833333333333334,0.9333333333333333,0.7179487179487181,21.667133708004258,47,0,47,0.0,21.645103496979573,0.9,20,0,0.0,
5q,q_02,suql_baseline,2,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.556688472999667,47,0,47,0.0,21.535184377986297,0.9,20,0,0.0,
5q,q_02,suql_baseline,3,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.507724612005404,47,0,47,0.0,21.485355656972388,0.9,20,0,0.0,
5q,q_02,suql_baseline,4,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.49722561600356,47,0,47,0.0,21.475736151987803,0.9,20,0,0.0,
5q,q_02,suql_baseline,5,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.504116604002775,47,0,47,0.0,21.48315323299903,0.9,20,0,0.0,
5q,q_02,suql_baseline,6,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.399358260001463,47,0,47,0.0,21.37846519098821,0.9,20,0,0.0,
5q,q_02,suql_baseline,7,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.406065727001987,47,0,47,0.0,21.384701503986435,0.9,20,0,0.0,
5q,q_02,suql_baseline,8,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.453135158000805,47,0,47,0.0,21.43163991702022,0.9,20,0,0.0,
5q,q_02,suql_baseline,9,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.45232443200075,47,0,47,0.0,21.430658522011072,0.9,20,0,0.0,
5q,q_02,suql_baseline,10,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,21.51107466499525,47,0,47,0.0,21.48929745797068,0.9,20,0,0.0,
5q,q_02,suql_v1,1,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,61.573399799999606,97,50,47,39.838269538013265,21.71365604602761,0.9,20,20,0.85,
5q,q_02,suql_v1,2,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,61.1661496010056,97,50,47,39.7505544539963,21.39315404400986,0.9,20,20,0.85,
5q,q_02,suql_v1,3,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,61.06332489899796,97,50,47,39.67578299302113,21.36562142598268,0.9,20,20,0.85,
5q,q_02,suql_v1,4,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,60.86125508000259,97,50,47,39.49413869501586,21.3451822200077,0.9,20,20,0.85,
5q,q_02,suql_v1,5,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,60.81136226599483,97,50,47,39.46833769400109,21.322406745006447,0.9,20,20,0.85,
5q,q_02,suql_v1,6,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,60.9053048900023,97,50,47,39.409955913994054,21.474104352048016,0.9,20,20,0.85,
5q,q_02,suql_v1,7,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,61.07517431100132,97,50,47,39.60264053699939,21.45104527897638,0.9,20,20,0.85,
5q,q_02,suql_v1,8,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,61.4578924180023,97,50,47,39.84883213698049,21.587388471009035,0.9,20,20,0.85,
5q,q_02,suql_v1,9,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,61.32710258100269,97,50,47,39.87184318801883,21.433754374011187,0.9,20,20,0.85,
5q,q_02,suql_v1,10,15,23,14,9,1,0.6086956521739131,0.9333333333333333,0.7368421052631579,61.12150555400149,97,50,47,39.71264282400807,21.387412309035426,0.9,20,20,0.85,
5q,q_02,trummer_baseline,1,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,17.728941179993853,16,0,16,0.0,17.672170366997307,0.9,20,0,0.0,
5q,q_02,trummer_baseline,2,15,53,15,38,0,0.2830188679245283,1.0,0.4411764705882353,16.530996266999864,16,0,16,0.0,16.47303937599645,0.9,20,0,0.0,
