method,precision,recall,f1,wall_seconds,llm_calls,cheap_calls,expensive_calls,cheap_seconds,expensive_seconds
suql_baseline,0.8602024722932652,0.92,0.8779148709242088,20.98450511031784,48.6,0.0,48.6,0.0,20.960932056677994
suql_v1,0.8250286041189931,0.9333333333333332,0.8630887538507632,48.365142094480106,75.0,50.0,25.0,37.406866007517095,10.936556890502107
trummer_baseline,0.3603886730354398,0.9066666666666667,0.512454890035356,28.233786980621517,34.6,0.0,34.6,0.0,28.111629780273653
trummer_v1,0.8503224831434549,0.9079999999999999,0.8649761264202691,17.428158662826753,9.4,7.2,2.2,14.466384210378164,2.9459674016805364
