movie_id,title,director,year,runtime,genres
tt0116136,DragonHeart,Rob Cohen,1996,103,"Action,Adventure,Fantasy"
tt0119653,Men,Zoe Clarke-Williams,1997,92,Drama
tt0125430,The Naughty Stewardesses,Al Adamson,1973,102,"Comedy,Drama"
tt0164699,Bodyguard Kiba,Ryûichi Takamori,1973,87,"Action,Crime,Drama"
tt0165494,Ringmaster,Neil Abramson,1998,90,Comedy
tt0167038,Belle's Magical World,"Bob Kline, Cullen Blaine, Dale Case, Daniel de la Vega, Barbara Dourmashkin-Case, Rick Leon, Burt Medall, Mitch Rochon",1998,92,"Adventure,Animation,Family"
tt0195234,Saving Grace,Nigel Cole,2000,93,"Comedy,Crime"
tt0199650,Jill Rips,Anthony Hickox,2000,94,"Drama,Thriller"
tt0262333,Chronopolis,Piotr Kamler,1982,52,"Animation,Drama,Fantasy"
tt0311018,Disappearance,Walter Klenhard,2002,92,"Horror,Mystery,Thriller"
tt0318276,Adrenaline,Roel Reiné,2003,97,"Crime,Drama,Romance"
tt0326820,DarkWolf,Richard Friedman,2003,94,Horror
tt0326856,Envy,Barry Levinson,2004,99,Comedy
tt0328031,King of the Ants,Stuart Gordon,2003,102,"Crime,Drama,Thriller"
tt0331834,Alive,Ryūhei Kitamura,2002,110,"Action,Drama,Horror"
tt0365960,Zero Day,Ben Coccio,2002,92,Drama
tt0368078,Niki and Flo,Lucian Pintilie,2003,99,Drama
tt0387989,Let's Bring Our Heroes Home,"Milan Luthria, Rajeev Jhaveri",2004,163,"Action,Drama,Thriller"
tt0404802,The Notorious Bettie Page,Mary Harron,2005,91,"Biography,Drama"
tt0433442,The Return,Asif Kapadia,2005,85,"Horror,Mystery,Thriller"
tt0455590,The Last King of Scotland,Kevin Macdonald,2006,123,"Biography,Drama,History"
tt0468464,Crippled Creek,Hans Hartman,2005,89,Horror
tt0469999,Ulli Lommel's Zodiac Killer,Ulli Lommel,2005,83,"Crime,Drama,Thriller"
tt0481280,Live Feed,Ryan Nicholson,2006,77,Horror
tt0485272,Salaam-E-Ishq,Nikkhil Advani,2007,216,"Comedy,Drama,Musical"
tt0705295,Whoever Did This,Timothy Van Patten,2002,58,"Crime,Drama"
tt0834896,Barricade,Timo Rose,2007,96,"Horror,Thriller"
